snap(-1,6,8)
sky(202,205,173)
fog(203,204,175)
clouds(105,151,210,5,-500)
ground(191,191,191)
texture(0,0,0,20)
fadefrom(8000)
density(8)
mountains(98175)
nlaps(12)
soundtrack(noggins_nokkin_stik.mod,170,129)

set(47,0,0,0)
set(49,-3100,1700,0)
set(36,1810,-486,-90)
set(36,-1810,-486,90)ph
set(49,-3100,-1100,0)
set(14,0,4550,0)pt
set(49,-3100,6550,0)
set(36,-1810,1474,90)
set(36,1810,2542,-90)
set(36,1810,1474,-90)
set(36,-1810,3434,90)
set(36,-108,6360,0)
set(36,-1810,5394,90)
set(36,-1810,6176,90)
set(36,-2068,6360,0)
set(49,-1875,7525,-90)
set(49,-3100,4500,0)
set(10,4550,4550,90)
set(49,5900,7525,-90)
set(49,925,7525,-90)
set(36,1777,6360,0)
set(36,2730,2740,180)
set(36,3737,6360,0)
set(36,5088,2740,180)
set(36,3737,2740,180)
set(36,5697,6360,0)
set(49,3100,7525,-90)
chk(40,5680,4550,90)
set(14,9100,4550,-90)pt
set(49,10850,7525,-90)
set(36,7657,6360,0)
set(36,7048,2740,180)
set(36,9617,6360,0)
set(36,10910,5168,-90)
set(36,10080,6360,0)
set(36,10910,6536,-90)
set(49,8700,7525,-90)
set(10,9100,0,180)
set(36,10910,3434,-90)
set(36,7290,2542,90)
set(36,7290,2100,90)
set(36,10910,1474,-90)
set(36,7290,140,90)
set(36,10910,-486,-90)ph
set(14,9100,-4550,180)pt
set(49,8575,-7500,90)
set(36,9008,-6360,180)
set(36,10910,-4406,-90)
set(36,10968,-6360,180)
set(36,10910,-6366,-90)
set(36,7290,-1820,90)
set(36,10910,-2446,-90)
set(49,11375,-7500,90)
set(10,4550,-4550,90)
set(49,3350,-7500,90)
set(36,7048,-2740,0)
set(36,6650,-2740,0)
set(36,7048,-6360,180)
set(36,5088,-6360,180)
set(36,4690,-2740,0)
set(49,5925,-7500,90)
chk(40,3556,-4550,90)
set(14,0,-4550,90)pt
set(49,-3100,-3900,0)
set(49,-2250,-7500,90)
set(36,-1810,-4406,90)
set(36,-2068,-6360,180)
set(36,-792,-6360,180)
set(36,-1810,-2446,90)
set(36,1810,-2446,-90)
set(36,3128,-6360,180)
set(36,2730,-2740,0)
set(36,1168,-6360,180)
set(36,-1810,-6366,90)
set(49,550,-7500,90)
set(26,-3050,8675,180)
set(26,-1650,8650,180)
set(26,-650,8650,180)
set(26,350,8650,180)
set(26,-2150,8650,180)
set(26,1350,8650,180)
set(26,2525,8675,180)
set(26,3700,8625,180)
set(26,4725,8625,180)
set(26,5925,8600,180)
set(26,7350,8625,180)
set(26,8225,8625,180)
set(26,9425,8700,180)
set(26,10825,8700,180)
set(26,12125,8700,180)
set(49,12750,6700,0)
set(49,12750,3900,0)
set(49,12750,1100,0)
set(49,12750,-1700,0)
set(49,12750,-4275,0)
set(49,12750,-6100,0)
set(49,12750,-6625,0)
set(49,11500,7525,-90)
set(49,-3100,-6700,0)
set(49,-2350,7525,-90)

maxl(4,-7175,-7039)
maxb(5,-9439,-4775)
maxr(4,16825,-7039)
maxt(5,9761,-4775)
