snap(14,13,14)
sky(191,215,255)
fog(195,207,230)
clouds(252,252,252,2,-1203)
ground(192,194,202)
texture(0,0,0,59)
fadefrom(8000)
density(8)
mountains(1234567890)
nlaps(5)

set(47,0,0,0)p
set(10,0,5600,0)p
set(13,-2484,9636,60)p
set(10,1647,5522,30)p
set(13,4487,694,210)p
set(10,6007,-4936,180)p
set(20,6007,-10536,0)p
set(15,6007,-16136,0)
set(15,6007,-21736,0)
set(34,6007,-20474,180)pr
set(15,6007,-27336,0)p
set(17,6007,-31886,180)pt
set(15,1457,-31886,-90)p
set(15,-4143,-31886,-90)
set(24,-6943,-31886,90)p
set(45,-7418,-29562,0)p
set(46,-3625,-28525,90)
set(46,1975,-28525,90)p
set(46,-3735,-29989,90)
set(33,-2658,-31886,90)pr
set(46,1865,-29989,90)p
set(46,10681,-29745,90)
set(46,16281,-29745,90)p
set(46,21881,-29745,90)p
set(15,16157,-31886,-90)p
set(15,10557,-31886,-90)
set(33,11520,-31886,90)pr
set(17,6007,-31886,90)pt
set(46,8922,-25841,180)p
set(46,14534,-25780,180)p
set(10,14700,0,180)p
set(10,14700,5600,180)p
set(10,14700,11200,180)p
set(14,14700,15750,-90)pt
set(10,10150,15750,-90)p
set(10,6650,15750,90)p
set(10,1050,15750,90)p
set(10,-4550,15750,90)p
set(10,-10150,15750,90)p
set(14,-14700,15750,0)pt
set(10,-14700,11200,180)p
set(10,-14700,5600,180)p
set(10,-14700,0,180)p
set(14,-14700,-4550,90)pt
set(12,-15780,-3030,60)p
set(10,-10150,-4550,90)p
set(10,-4550,-4550,90)p
set(10,4550,-4550,90)p
set(10,10150,-4550,90)p
set(14,14700,-4550,180)pt
set(46,12900,380,180)p
set(46,12900,5980,180)p
set(46,12900,11580,180)p
set(46,8906,8617,60)p
set(12,8230,6840,60)p
set(10,2600,8360,-90)p
set(46,-1900,4930,180)p
set(46,-1900,-670,180)p
set(14,0,-4550,180)pt
set(23,10117,5770,60)
set(14,14700,4550,0)
set(13,19280,6070,120)
set(13,24940,9110,120)
set(10,30570,10630,90)
set(10,36170,10630,90)
set(10,41770,10630,90)
set(14,46320,10630,-90)
set(10,46320,6080,0)
set(46,48082,6848,180)
set(46,48082,1248,180)
set(14,46320,-1530,180)
set(10,41770,-1530,90)
set(10,36170,-1530,90)
set(10,30570,-1530,90)
set(12,24940,-10,60)
set(12,19280,3030,60)
set(10,19250,4550,90)
set(10,24850,4550,90)
set(10,30450,4550,90)
set(10,36050,4550,90)
set(14,40600,4550,180)
set(14,40600,8050,0)
set(14,44100,8050,-90)
set(14,44100,4550,180)
set(10,39550,4550,90)
set(46,33008,2946,90)
set(46,27408,2946,90)
set(46,32778,6138,90)
set(46,27178,6138,90)
set(46,30632,12338,90)
set(46,36232,12338,90)
set(46,41832,12338,90)
set(24,18957,-31886,-90)
set(10,-6615,13750,30)
set(10,-9365,18395,30)
set(10,-12165,23243,30)
set(10,-13381,27855,180)
set(36,-10651,30400,0)
set(14,-13381,32405,0)
set(22,-11643,32399,90)
set(18,-8283,32399,90)
set(38,-11703,32399,90)
set(18,-2683,32399,90)
set(18,2917,32399,90)
set(18,8517,32399,90)
set(22,11877,32399,-90)
set(23,12437,32399,90)
set(46,7745,5040,60)
set(10,46320,3020,0)
set(14,0,-4550,90)
set(14,14700,4550,90)
set(46,38608,2946,90)
set(46,30548,-3268,90)
set(46,36148,-3268,90)
set(46,41748,-3268,90)
set(56,-20808,-1510,90)
set(56,-20800,-2280,90)
set(56,-20800,-720,90)
set(57,-23601,-720,90)
set(57,-23609,-1510,90)
set(57,-23601,-2280,90)
set(60,-26392,-2280,-90)
set(60,-26400,-1510,-90)
set(60,-26392,-720,-90)
set(60,-29192,-720,-90)
