snap(-4,12,-4)
sky(152,203,201)
fog(152,202,180)
ground(152,202,160)
polys(153,201,160)
fadefrom(9000)
density(8)
nlaps(4)
soundtrack(rumble,258,26)
set(47,0,0,0)p
set(10,0,5600,0)
set(10,0,11200,0)
fix(41,0,8768,-1000,0)
chk(40,0,8768,0)
set(26,0,7730,0)pr
set(13,-1520,16830,30)
chk(40,-3040,19660,0)
set(12,-1520,22490,-30)
set(32,-2690,21150,0)pr
set(10,2024,24524,90)
set(32,-210,23910,-90)
chk(40,4824,24524,90)
set(12,7654,23004,60)p
set(10,13284,21484,90)
set(36,12900,19674,180)
set(36,10958,23294,0)
set(36,12900,23294,0)
set(36,10958,19674,180)
set(13,18914,23004,120)
set(36,14860,23294,0)
set(36,14860,19674,180)ph
chk(40,21744,24524,90)
set(12,24574,23004,-120)
set(32,24218,23210,-90)pr
set(13,28556,19948,210)p
set(12,32092,16464,-120)
set(13,35844,12888,30)
chk(40,35384,13808,0)
set(12,35948,7532,150)
set(26,37364,9820,180)pr
set(13,32412,4024,-60)p
set(10,26782,2504,-90)
chk(40,27372,2504,90)
set(13,21152,984,-60)
set(26,25340,2504,90)pr
set(14,22232,2504,0)pt
set(10,22232,-2046,0)
fix(41,22232,-4846,-500,0)
set(23,22232,-3518,0)
set(12,17548,-2652,150)
chk(40,16028,-5482,0)
set(13,17548,-8312,30)
set(30,22232,-3166,540)pl
set(12,20980,-11780,60)
set(26,20088,-11104,-90)pr
set(13,24568,-15420,30)
chk(40,26088,-18250,0)
set(12,24568,-21080,150)p
set(13,20980,-24680,-60)
set(14,16400,-26200,0)
set(26,17550,-26200,90)pr
set(12,14948,-30588,-30)
chk(40,13880,-32440,0)
set(13,11464,-34124,-60)p
set(13,7148,-36528,-60)p
set(12,3396,-40168,-30)
set(14,1876,-44748,180)
chk(40,1876,-43576,0)
set(14,0,-43750,90)pt
set(11,0,-39200,0)
set(26,0,-40764,0)pr
set(11,0,-33600,0)p
set(10,0,-28000,0)
chk(40,0,-27872,0)
set(10,0,-22400,0)
set(31,0,-23534,0)pr
set(10,0,-16800,0)p
set(10,0,-11200,0)p
set(10,0,-5600,0)
chk(40,0,-7692,0)

maxl(17,-9186,-48021)
maxb(11,-50421,-6786)
maxr(17,43614,-48021)
maxt(11,31179,-6786)
