snap(0,0,0)
sky(191,201,255)
fog(167,223,216)
ground(147,191,143)
polys(148,191,143)
fadefrom(5000)
density(5)
nlaps(5)

set(47,0,0,0)p
set(13,86,253,30)p
set(13,-2954,5913,30)
set(13,-5994,11573,30)
set(26,-4240,7705,90)
set(26,-4020,8585,0)pr
set(13,-9034,17233,30)
chk(40,-10554,20063,0)
set(12,-9034,22893,-30)p
set(13,-5392,26456,120)
chk(40,-2562,27976,90)
set(13,268,29496,120)p
set(10,5898,31016,90)p
set(10,11498,31016,90)
set(10,17098,31016,90)
set(10,22698,31016,90)p
set(10,28298,31016,90)p
set(10,33898,31016,90)p
set(10,39498,31016,90)p
set(10,45098,31016,90)p
set(12,50728,29496,-120)p
set(13,54268,26067,30)
chk(40,55788,23237,0)
set(12,54268,20407,-30)
set(13,50785,16752,120)
set(32,53098,19176,180)
set(32,53798,19176,180)
set(32,54104,19176,180)
set(32,53404,19176,180)
set(32,52704,19176,180)
set(32,52748,19526,90)
set(32,52712,19948,90)
set(32,52688,20226,90)
set(32,54498,19176,180)
set(32,54804,19176,180)pr
set(13,47283,14631,-60)
chk(40,45517,13651,90)
set(12,43785,11080,-30)p
set(12,40745,5420,-30)p
set(38,41336,6394,180)
set(38,40958,5848,180)
set(38,40664,5344,180)
set(38,40370,4798,180)
set(38,40118,4252,180)
set(38,41564,6800,180)
set(38,41792,7292,180)
set(38,42008,7832,180)
set(38,42265,8250,180)
set(12,37705,-240,-30)p
set(13,34255,-3848,120)
set(32,34470,-3442,90)pr
set(12,28884,-3954,60)
chk(40,31425,-5368,90)
set(32,32370,-5718,90)
set(13,25375,-500,30)p
set(12,22125,3125,60)
chk(40,21098,3703,90)
set(13,18750,2500,120)
set(12,15625,-875,150)
set(37,15959,-1989,180)
set(27,15959,-582,180)pr
set(37,15021,-2659,180)
set(37,15959,-2778,180)
set(12,12585,-6535,-30)p
set(37,14418,-3396,180)
set(37,13815,-4133,180)
set(37,15021,-3314,180)
set(37,15356,-3984,180)
set(37,16160,-3582,180)
set(37,16160,-4568,180)
set(12,6568,-9228,60)
chk(40,7732,-9756,90)
set(13,3126,-5407,30)p
set(13,10168,-8508,120)
set(12,5928,29496,-120)
set(10,11558,27976,-90)
fix(41,16072,27976,-500,90)
set(10,17158,27976,-90)
set(37,16568,31016,-90)
set(30,14392,27976,-90)
set(37,17396,31016,-90)
set(37,18404,31016,-90)
set(31,14212,31016,-90)pr
set(37,19376,31016,-90)
set(37,20240,31016,-90)
set(10,22758,27976,-90)
set(37,21176,31016,-90)
set(37,22112,31016,-90)
set(10,28358,27976,-90)
set(10,33958,27976,-90)
set(13,39588,29496,-60)

maxl(12,-18183,-15645)
maxb(17,-18045,-15783)
maxr(12,63417,-15645)
maxt(17,39555,-15783)
