snap(0,0,0)
sky(191,215,255)
clouds(255,255,255,5,-1000)
fog(195,207,230)
ground(192,194,202)
texture(0,0,0,50)
fadefrom(5000)
density(5)
mountains(38283)
nlaps(5)
set(47,0,0,0)
set(10,0,5600,0)
set(26,0,3082,0)pr
set(26,0,3888,180)pr
set(10,0,11200,0)p
set(10,0,16800,0)p
set(54,-340,15516,90)
set(38,0,16025,0)
set(38,0,16700,0)
set(38,0,17350,0)
set(38,0,18025,0)
set(38,0,17700,0)
set(38,0,17025,0)
set(38,0,16350,0)
set(38,0,15700,0)
set(54,290,15516,90)
set(10,0,22400,0)p
set(38,0,18700,0)
set(38,0,19350,0)
set(38,0,20025,0)
set(38,0,20700,0)
set(38,0,21350,0)
set(38,0,22025,0)
set(38,0,22700,0)
set(38,0,23350,0)
set(38,0,23700,0)
set(38,0,23025,0)
set(38,0,22350,0)
set(38,0,21700,0)
set(38,0,21025,0)
set(38,0,20350,0)
set(38,0,19700,0)
set(38,0,19025,0)
set(38,0,18350,0)
set(14,0,26950,0)
set(38,0,24025,0)
set(38,0,24700,0)
set(38,0,25025,0)
set(38,0,24350,0)
chk(40,0,25725,0)
set(14,3500,26950,180)
chk(40,3500,28700,0)
set(14,3500,30450,-90)pt
set(14,0,30450,90)
set(37,-525,28605,180)
set(37,869,28585,180)
set(37,1750,28564,180)
set(37,533,28564,180)
set(37,1499,28564,180)
set(37,-252,28542,180)
chk(40,0,31775,0)
set(20,0,35000,180)p
set(44,0,40600,180)p
set(43,0,46200,180)p
set(44,0,51800,0)
set(33,0,50983,0)pr
set(24,0,54600,0)
set(55,0,54370,0)pr
set(23,0,65071,0)
chk(40,0,63550,0)
set(10,0,67871,180)
set(10,0,73471,180)
set(56,0,78469,0)
chk(40,0,76520,0)
set(57,0,81270,0)pr
set(60,0,84061,0)pr
set(60,0,86861,0)pr
set(57,0,89652,180)pr
set(14,0,96401,0)
set(14,533,96411,0)
chk(40,1318,96411,90)
set(14,-756,96411,0)
set(56,0,92453,180)pr
set(56,533,92463,180)pr
set(57,533,89662,180)pr
set(60,533,86871,0)pr
set(60,533,84071,0)pr
set(57,533,81280,0)pr
set(56,533,78479,0)pr
set(57,-756,89662,180)
set(60,-756,86871,0)
set(60,-756,84071,0)
set(57,-756,81280,0)
set(56,-756,78479,0)
set(56,-756,92463,180)
set(10,5083,96411,90)
