snap(-7,0,-7)
sky(209,236,237)
fog(175,214,197)
ground(143,191,147)
polys(144,192,146)
fadefrom(8000)
density(8)
nlaps(4)

set(47,0,0,0)p
set(14,-8,5068,0)pt
set(10,4542,5068,90)p
set(10,4882,5044,-90)
chk(40,5320,5044,90)r
set(10,10482,5044,-90)
set(10,16082,5044,-90)
set(28,11816,5044,90)pr
set(10,21682,5044,-90)p
set(10,27282,5044,-90)
set(28,27224,5044,90)pr
set(10,32882,5044,-90)p
set(10,38482,5044,-90)p
set(10,44082,5044,-90)p
set(14,48632,5044,-90)
chk(40,48632,3835,0)r
set(12,47112,464,-30)p
set(12,44072,-5196,-30)p
set(13,40740,-8690,-60)p
set(10,35110,-10210,90)
chk(40,37910,-10210,90)r
set(10,29510,-10210,90)
set(10,23910,-10210,90)
set(10,18310,-10210,90)
set(10,12710,-10210,90)p
set(10,7110,-10210,90)p
set(10,1510,-10210,90)p
set(14,-3040,-10210,90)
chk(40,-3040,-9085,0)r
set(12,-1520,-5630,-30)p
set(10,-8,518,180)
chk(40,-8,-2282,0)r
set(12,32310,-8690,-120)
set(38,36120,-10210,90)
set(38,35600,-10210,90)
set(38,35140,-10210,90)
set(38,34680,-10210,90)
set(38,34200,-10210,90)
set(38,33720,-10210,90)
set(38,33220,-10210,90)
set(38,32740,-10210,90)
set(38,32310,-10210,90)
set(11,26680,-7170,-90)
fix(41,21020,-7170,-500,90)
set(11,21080,-7170,-90)
set(37,21422,-10210,90)
set(37,20610,-10210,90)
set(37,19740,-10210,90)
set(31,23854,-10210,90)
set(30,22700,-7170,90)pl
set(37,18928,-10210,90)
set(37,18116,-10210,90)
set(11,15480,-7170,-90)
set(37,17280,-10210,90)
set(13,9850,-8690,120)

maxl(6,-10804,-14816)
maxb(14,-17216,-8404)
maxr(6,56396,-14816)
maxt(14,11584,-8404)
