snap(-60,-60,-60)
sky(147,166,197)
fog(160,168,194)
ground(172,173,191)
polys(171,173,191)
fadefrom(5600)
density(3)
nlaps(5)
lightson()

set(47,0,0,0)p
set(14,0,4550,0)pt
set(10,4550,4550,90)
set(26,6165,4550,-90)pr
set(10,10150,4550,90)p
set(14,14700,4550,-90)
chk(40,13348,4550,90)r
set(10,14700,0,0)
set(23,14700,-2800,0)
set(37,14700,-3270,180)
set(37,14700,-4115,180)
set(31,14700,-509,180)pr
set(37,14700,-5025,180)
set(37,14700,-5940,180)
set(23,14700,-9011,180)
set(37,14700,-6860,180)
set(37,14700,-7754,180)
set(37,14700,-8536,180)
set(14,14700,-15750,180)
set(30,14700,-10691,0)pl
set(10,10150,-15750,90)
chk(40,12354,-15750,90)r
set(26,10675,-15750,90)
set(10,4550,-15750,90)
chk(40,1958,-15750,90)r
set(10,-1050,-15750,90)
set(26,530,-15750,90)pr
set(14,-5600,-15750,90)pt
set(10,-5600,-11200,180)
chk(40,-5600,-11282,0)r
set(14,-5600,-6650,0)pt
set(10,-1329,-6629,90)p
set(14,3221,-6629,-90)
chk(40,1022,-6629,90)r
set(14,3221,-10129,180)pt
set(10,-1329,-10129,90)
chk(40,-772,-10129,90)r
set(45,-2449,-10129,90)
set(26,-5600,-12745,0)pr
set(23,-2535,-10129,-90)p
set(14,0,-4550,180)pt
set(11,-11440,-10380,-90)
chk(40,-11600,-10380,90)r
set(14,-15990,-10380,0)
set(10,-15990,-14930,0)
chk(40,-15990,-13766,0)r
set(26,-15990,-14760,180)
set(14,-15990,-19480,90)
set(10,-11440,-19480,90)
chk(40,-11650,-19480,90)r
set(14,-6890,-19480,180)
set(14,-6890,-15980,-90)
chk(40,-8384,-15980,90)r
set(14,-10390,-15980,90)
set(10,-10390,-11430,180)
set(26,-10390,-12036,0)
set(14,-10390,-6880,-90)
chk(40,-12140,-6880,90)r
set(14,-13890,-6880,90)
set(22,-13890,-4570,180)
set(18,-13890,-1210,180)
set(36,-12080,-1350,-90)
set(36,-15700,-3030,90)
set(36,-15700,-1070,90)
set(36,-12080,-3030,-90)
set(18,-13890,4390,180)
set(36,-12080,2290,-90)
set(36,-15700,4530,90)
set(36,-15700,610,90)
set(36,-15700,2570,90)
set(36,-12080,4250,-90)
set(36,-12080,330,-90)
set(22,-13890,7750,0)
set(36,-12080,6210,-90)
set(36,-15700,6210,90)
set(14,-13890,10060,-90)
chk(40,-14962,10060,90)r
set(10,-18440,10060,-90)
set(28,-18075,10060,90)
set(14,-22990,10060,90)
set(10,-22990,14610,180)
set(32,-23340,14000,0)
set(32,-22640,11810,0)
set(32,-22640,16665,0)
set(10,-4550,-4550,-90)
set(14,-9100,-4550,90)
set(38,-7042,-4550,-90)
set(38,-6260,-4550,-90)
set(38,-5478,-4550,-90)
set(38,-4650,-4550,-90)
set(38,-3960,-4550,-90)
set(10,-9100,0,180)
set(10,-9100,5600,180)
set(29,-9095,4430,180)
set(10,-9100,11200,180)
set(14,-22990,19160,0)
set(10,-18440,19160,90)
chk(40,-19032,19160,90)r
set(10,-12840,19160,90)
set(27,-16690,19160,-90)
set(14,-9095,19160,-90)
set(10,-9095,14610,0)
set(29,-9095,13974,0)
chk(40,-9095,8688,0)r
chk(40,-1476,-4550,90)r
set(38,-3316,-4550,-90)
set(38,-2672,-4550,-90)
set(38,-2074,-4550,-90)

maxl(11,-30300,-24160)
maxb(11,-26560,-27900)
maxr(11,22500,-24160)
maxt(11,26240,-27900)
