snap(-60,-200,-60)
sky(0,0,0)
fog(0,0,0)
clouds(0,0,0,10,-500)
ground(0,0,0)
texture(0,0,0,59)
fadefrom(8000)
density(8)
mountains(1234567890)
nlaps(3)
soundtrack(rr_remix.mod,556,28)
lightson()

set(47,0,0,0)p
set(56,0,4998,0)pr
set(57,0,7799,0)pr
set(60,0,10590,0)
chk(64,0,11990,0,-1490)r
set(60,0,13390,0)pr
set(60,0,16190,0)pr
set(60,760,16188,0)pr
set(60,760,13388,0)pr
set(60,760,10588,0)pr
set(57,760,7797,0)pr
set(56,760,4996,0)pr
set(56,760,-1730,180)pr
set(57,760,-4531,180)pr
set(60,760,-7322,180)pr
set(60,2109,-7052,240)pr
set(60,1596,-7457,240)pr
set(57,0,-4505,180)pr
set(56,0,-1704,180)pr
set(60,0,-7296,180)
set(60,-722,10588,0)
set(57,-722,7797,0)
set(56,-722,4996,0)
set(60,-722,13388,0)
set(60,-722,16188,0)
set(60,234,18102,-60)
set(60,624,17478,-60)
set(60,1014,16854,-60)
set(60,2600,18720,90)
set(60,2760,17520,90)
set(60,2760,18040,90)
set(60,5400,18720,90)
set(60,5560,18040,90)
set(60,5560,17520,90)
set(60,7751,19217,120)
set(60,7944,18168,120)
set(60,7656,18780,120)
set(60,8412,20940,180)
set(60,9012,19912,180)
set(60,9012,22712,180)
set(60,7716,20812,180)
set(60,7716,23612,180)
set(60,8412,23740,180)
set(60,9012,25404,180)
set(60,8412,26540,180)
set(60,7716,26412,180)
set(60,9012,26520,180)
set(60,7716,29212,180)
set(60,8412,29340,180)
set(60,9012,29320,180)
set(60,8917,30878,-60)
set(60,8712,31042,-60)
set(60,10352,30591,-60)
set(60,11056,31707,90)
set(60,10125,30965,-60)
set(60,12964,31291,-90)
set(60,12190,30685,-90)
set(60,13856,31707,-90)
set(60,13835,30685,-90)
set(60,13835,31291,-90)
set(60,16225,31085,240)
set(60,15840,30420,240)
set(60,15455,29755,240)
set(60,13950,30665,240)
set(60,17240,29300,0)
set(60,16505,29300,0)
set(60,15735,29300,0)
set(60,15735,26500,0)
set(60,16505,26500,0)
set(60,17240,26500,0)
set(60,17240,23700,0)
set(60,16505,23700,0)
set(60,15735,23700,0)
set(60,15735,20900,0)
set(60,17240,20900,0)
set(60,16505,20900,0)
set(60,17240,18100,0)
set(60,16505,18100,0)
set(60,15735,18100,0)
set(60,17240,15300,0)
set(60,16505,15300,0)
chk(64,16505,13900,0,-1490)r
set(60,15735,15300,0)
set(60,17240,12500,0)
set(60,16505,12500,0)
set(60,15735,12500,0)
set(60,15735,9700,0)
set(60,17240,9700,0)
set(60,16505,9700,0)
set(60,17999,8163,60)
set(60,16712,7912,60)
set(60,17717,7600,60)
set(60,18270,8550,60)
set(60,17574,7390,60)
set(60,20694,8550,120)
set(60,19824,8036,120)
set(60,19608,7352,120)
set(60,20220,9152,120)
set(60,22644,10552,120)
set(60,23118,9950,120)
set(60,22032,8752,120)
set(60,24456,10152,120)
set(60,25542,11350,120)
set(60,25068,11952,120)
set(60,27444,12540,-90)
set(60,26652,10848,-90)
set(60,27156,11496,-90)
set(60,27156,12216,-90)
set(60,29820,13188,-60)
set(60,28956,11460,-60)
set(60,31380,12860,-60)
set(60,29474,12421,-60)
set(60,31898,13821,-60)
set(60,32244,14588,-60)
set(60,33804,14260,-60)
set(60,33464,14852,-60)
set(60,33252,15184,-60)
set(60,34464,17284,180)
set(60,34836,16012,180)
set(60,33792,16084,180)
set(60,33792,17308,180)
set(60,34836,17308,180)
set(60,32984,19032,240)
set(60,33812,19068,240)
set(60,32696,18420,240)
set(60,30344,19104,90)
set(60,30372,19732,90)
set(60,31408,19732,90)
set(60,31122,18486,90)
set(60,30366,18486,90)
