snap(0,0,0)
sky(241,248,191)
fog(167,223,170)
clouds(255,255,255,5,-1000)
ground(149,198,151)
texture(0,0,0,50)
fadefrom(8000)
density(8)
mountains(13106)
nlaps(4)
soundtrack(meeting.mod,264,69)

set(47,0,0,0)
set(10,0,5600,0)
set(10,0,11200,0)
set(10,0,16800,0)
set(29,0,16464,0)
set(29,0,16464,180)pr
set(10,0,22400,0)p
set(13,2016,25852,120)p
set(13,7676,28892,120)p
set(14,12256,30412,-90)pt
set(10,12256,25862,0)
set(52,12606,25396,180)
set(52,11906,25396,180)pr
set(10,12256,20262,0)
set(10,12256,14662,0)
set(49,11556,15396,0)
set(49,12956,18196,180)ph
set(49,12956,15396,180)
set(49,11556,18196,0)
set(10,12256,9062,0)p
set(10,12256,3462,0)
set(32,12606,2696,180)
set(32,11906,2696,180)pr
set(14,12256,-1088,180)pt
set(13,7676,-2608,-60)
set(14,3500,-4080,0)
set(10,3500,-8630,0)
set(10,3500,-14230,0)p
set(10,3500,-19830,0)p
set(13,5020,-25460,30)p
set(12,8444,-28900,60)p
set(13,14104,-28900,-60)p
set(12,17612,-25324,150)p
set(10,19132,-19694,180)
set(52,19482,-19124,0)pr
set(12,20652,-14064,150)
set(52,18782,-18148,0)pr
set(12,23692,-8404,150)p
set(12,26732,-2744,150)p
set(13,26732,2916,210)p
set(12,23276,6408,-120)p
set(56,18248,7928,90)pr
set(57,15447,7928,90)pr
set(60,12656,7928,90)pr
set(10,6322,7920,90)
set(57,9865,7928,-90)pr
set(56,7064,7928,-90)pr
set(14,1772,7920,0)
chk(40,0,8673,0)r
set(10,1772,3370,180)
set(29,0,5784,180)
set(29,0,6036,0)pr
set(38,1772,2070,0)
set(38,1772,1916,0)
set(10,1772,-2230,180)
set(38,1772,1629,0)
set(38,1772,1070,0)
set(38,1772,1342,0)
set(10,1772,-7830,180)
set(10,1772,-13430,180)
set(10,1772,-19030,180)p
set(10,1772,-24630,180)p
set(14,1772,-29180,90)pt
set(12,6352,-30700,-120)p
set(14,10932,-32220,-90)pt
set(10,10932,-36770,0)p
set(12,9412,-42400,-30)p
set(12,6372,-48060,-30)p
set(14,4852,-52640,180)pt
set(14,12,-52630,90)pt
set(10,12,-48080,180)p
set(10,0,-44800,0)
set(10,0,-39200,0)
set(10,0,-33600,0)
set(31,0,-38691,0)pr
set(10,0,-28000,0)p
set(10,0,-22400,0)p
set(10,0,-16800,0)p
set(54,1481,-17629,-90)
set(54,1481,-16762,-90)
set(54,1399,-15778,-90)
set(54,2137,-16229,-90)
set(54,2260,-17178,-90)
set(54,2137,-18162,-90)
set(10,0,-11200,0)
set(10,0,-5600,0)
set(31,1772,123,180)pr
set(50,3522,-8815,180)pr
set(37,1772,-5731,0)
set(37,1772,-3474,0)
set(37,1772,-2498,0)
set(37,1772,-4572,0)
set(37,1772,-6951,0)
set(56,7052,8568,-90)
chk(40,4846,27372,90)r
set(57,9853,8568,-90)
set(60,12644,8568,90)
chk(40,12256,19596,0)r
set(57,15435,8568,90)
set(56,18236,8568,90)
set(57,15435,7272,90)
set(60,12644,7272,90)
chk(40,12256,41,0)r
set(57,9853,7272,-90)
set(56,7052,7272,-90)
chk(40,3522,-19032,0)r
set(56,18236,7272,90)
set(23,1762,-52630,90)
chk(40,11274,-30420,90)r
chk(40,28252,-64,0)r
chk(64,12376,7928,90,-1490)r
chk(40,1772,-14901,0)r
chk(40,1772,-19000,0)r
chk(40,10932,-33302,0)r
chk(40,2599,-52630,90)r
chk(40,0,-2800,0)r

maxl(19,-5695,-54199)
maxb(8,-56599,-3295)
maxr(19,32705,-54199)
maxt(8,34601,-3295)
