snap(-9,-9,-9)
sky(162,191,217)
fog(203,213,213)
clouds(255,255,255,4,-1500)
ground(200,209,210)
texture(36,43,35,38)
fadefrom(5000)
density(3)
mountains(77994)
nlaps(2)
soundtrack(darkness_forest.mod,455,230)

set(47,0,0,0)p
set(12,1520,5630,150)p
set(12,4560,11290,150)
set(10,6080,16920,180)
chk(40,6080,14379,0)
set(10,6080,22520,180)
set(31,6080,17688,0)pr
set(37,6080,22648,0)
set(37,6080,20920,0)
set(37,6080,20029,0)
set(37,6080,21757,0)
set(37,6080,23539,0)
set(10,6080,28120,180)p
set(37,6080,24514,0)
set(10,6080,33720,180)p
set(14,6080,38270,-90)
chk(40,4516,38270,90)
set(10,1530,38270,-90)
set(29,2352,38270,90)pr
set(10,-4070,38270,-90)
set(29,-1976,38270,-90)pr
set(14,-8620,38270,0)pt
set(10,-8620,33720,0)
set(10,-8620,28120,0)
chk(40,-8620,29500,0)
set(14,-8620,23570,90)pt
set(10,-4070,23570,90)p
set(14,480,23570,180)pt
set(10,480,28120,180)p
set(14,480,32670,-90)pt
set(10,-4070,32670,-90)
chk(40,-1950,32670,90)
set(11,-9670,32670,-90)
set(26,-8620,34288,180)
set(26,-8620,31112,0)pr
set(10,-15270,32670,-90)p
set(45,-21180,32670,90)p
set(46,-25660,32670,90)p
set(46,-31260,32670,90)p
set(46,-36575,32670,90)p
set(45,-41055,32670,-90)p
set(20,-47164,32670,-90)
set(15,-52764,32670,-90)
set(33,-50840,32670,90)pr
set(17,-57314,32670,0)
chk(42,-57314,31355,0)
set(15,-57314,28120,180)
set(34,-57314,29380,180)pr
set(15,-57314,22520,180)p
set(17,-57314,17970,90)pt
set(63,-57011,19157,-90)
set(17,-53814,17970,-90)pt
set(17,-53814,14470,90)pt
set(17,-50314,14470,-90)pt
set(17,-50314,10970,90)
chk(42,-48564,10970,90)
set(15,-45764,10970,90)
set(35,-47460,11420,-90)pr
set(44,-40164,10970,90)
set(35,-41080,10460,-90)pr
set(43,-34564,10970,90)p
set(63,-36007,10946,180)
set(43,-28964,10970,90)
set(34,-28920,10970,-90)pr
set(43,-23364,10970,90)p
set(63,-24937,11949,90)
set(43,-17764,10970,90)p
set(63,-15954,10178,-90)
set(44,-12164,10970,-90)p
set(17,-7614,10970,-90)
set(63,-9725,11762,0)
chk(42,-9083,10970,90)
set(20,-7614,6420,180)p
set(56,-7614,1422,180)pr
set(57,-7614,-1379,180)pr
set(60,-7614,-4170,180)pr
set(60,-7614,-6970,180)pr
set(60,-7614,-9770,180)pr
set(57,-7614,-12561,0)pr
set(10,-7614,-20360,0)
set(56,-7614,-15362,0)pr
set(10,-7614,-25960,0)
set(50,-7614,-20895,180)pr
set(51,-7614,-22265,180)
set(10,-7614,-31560,0)p
set(54,-7252,-33660,-90)
set(54,-7296,-30520,-90)
set(54,-7936,-30520,-90)
set(54,-7932,-33660,-90)
set(10,-7614,-37160,0)
set(27,-7614,-36290,180)pr
set(10,-7614,-42760,0)p
set(14,-7614,-47310,180)
chk(40,-8980,-47310,90)
set(12,-12194,-45790,-120)p
set(12,-17854,-42750,-120)p
set(10,-23484,-41230,-90)p
set(38,-22960,-41230,-90)
set(38,-21960,-41230,-90)
set(38,-21184,-41230,-90)
set(38,-21586,-41230,-90)
set(38,-22400,-41230,-90)
set(38,-23400,-41230,-90)
set(13,-29114,-42750,-60)p
set(12,-34774,-42750,-120)p
set(14,-39354,-41230,90)pt
set(10,-39354,-36680,180)
chk(40,-39354,-36775,0)
set(14,-39354,-32130,0)pt
set(45,-34295,-32130,-90)p
set(46,-29815,-32130,-90)p
set(46,-24215,-32130,-90)p
set(46,-18615,-32130,-90)p
set(56,-17320,-31865,-90)pr
set(57,-14519,-31865,-90)pr
set(58,-11234,-31865,-90)pr
set(59,-8137,-31865,-90)pr
set(61,-5898,-31865,-90)pr
set(61,-3098,-31865,-90)pr
set(59,-859,-31865,90)pr
set(58,2238,-31865,90)pr
set(57,5523,-31865,90)pr
set(22,10940,-32310,90)
set(56,8170,-31865,90)pr
set(18,14300,-32310,-90)
set(36,12510,-34120,180)
set(36,14584,-30500,0)
set(36,12624,-30500,0)
set(36,14470,-34120,180)ph
set(19,18850,-32310,180)pt
set(36,16334,-34120,180)
set(36,16544,-30500,0)
set(36,16815,-34120,180)
set(36,16815,-30500,0)
set(18,18850,-27760,180)
set(36,20660,-30036,-90)
set(36,20660,-28076,-90)ph
set(36,17040,-28297,90)
set(36,17040,-28840,90)
set(22,18850,-24400,0)
set(36,17040,-26337,90)
set(36,20660,-26116,-90)
chk(40,18850,-24734,0)
set(14,18850,-22090,-90)pt
set(14,15350,-22090,90)pt
set(14,15354,-18960,-90)pt
set(12,10660,-17390,-120)p
set(14,6080,-15870,90)pt
set(13,4560,-11290,210)p
set(13,1520,-5630,210)
chk(40,0,-1927,0)
set(56,-8411,1345,180)
set(57,-8411,-1456,180)
set(60,-8411,-4247,180)
set(60,-8411,-7047,180)
