snap(0,0,0)
sky(191,215,255)
fog(195,207,230)
ground(192,194,202)
polys(187,190,201)
fadefrom(5000)
density(5)
nlaps(5)

set(47,0,0,0)p
set(10,0,5600,0)
chk(40,0,6812,0)r
set(10,0,11200,0)
set(26,0,8150,0)pr
set(14,0,15750,0)
set(10,5150,15750,-90)
set(26,2350,15750,-90)pr
set(10,10750,15750,-90)p
set(20,16350,15750,90)
chk(40,14144,15750,90)r
set(15,21950,15750,90)
set(35,20540,16036,90)pr
set(17,26500,15750,-90)
chk(42,26268,13880,0)r
set(44,26500,11200,0)
set(35,26500,10792,180)pr
set(43,26500,5600,0)
set(35,26500,5624,180)pr
set(43,26500,0,0)
chk(42,26268,-2004,0)r
set(44,26500,-5600,180)
set(24,26500,-8400,180)
set(34,26500,-7505,180)pr
set(10,26500,-16800,180)
chk(40,26500,-16572,0)r
set(26,26500,-17776,180)
set(23,26500,-14000,180)p
set(12,24980,-22430,150)
chk(40,23460,-25260,0)r
set(13,24980,-28090,210)
chk(40,26268,-30820,0)r
set(12,24980,-33750,150)p
set(14,23460,-38330,180)
chk(40,23460,-36580,0)r
set(23,21710,-38330,-90)
chk(40,22164,-38330,90)r
chk(40,21240,-38330,90)r
fix(41,13686,-38690,-500,90)
set(45,15366,-38690,90)p
set(10,10886,-38690,90)p
set(10,5286,-38690,-90)
chk(40,7781,-38690,90)r
set(22,1926,-38690,-90)
set(28,4650,-38690,-90)pr
set(18,-1434,-38690,-90)
chk(40,-1446,-38690,90)r
set(19,-5984,-38690,90)
set(18,-5984,-34140,180)
set(36,-7794,-34955,90)
set(36,-4174,-34955,-90)
set(36,-4174,-36915,-90)
set(36,-4174,-32995,-90)
set(36,-7794,-36915,90)ph
set(36,-7794,-32995,90)
set(18,-5984,-28540,180)
set(36,-7794,-28495,90)ph
set(36,-7794,-31245,90)
set(36,-4174,-31035,-90)
set(36,-4174,-29075,-90)
set(36,-7794,-29285,90)
set(22,-5984,-25180,0)
set(36,-7794,-27115,90)
set(36,-4174,-27115,-90)ph
set(11,-5984,-21820,0)
chk(40,-5984,-22770,0)r
set(23,-5984,-19020,180)
set(27,-5984,-19240,0)pr
set(10,-4550,-10150,-90)p
set(14,0,-10150,180)
chk(40,0,-7941,0)r
set(10,0,-5600,0)
set(26,0,-6148,0)pr
set(23,-7350,-10150,-90)

maxl(15,-13919,-45256)
maxb(10,-47656,-11519)
maxr(15,34081,-45256)
maxt(10,24345,-11519)
