snap(0,0,0)
sky(191,215,255)
fog(195,207,230)
clouds(255,255,255,5,-1000)
ground(192,194,202)
texture(0,0,0,50)
fadefrom(5000)
density(5)
mountains(44765)
nlaps(15)

set(47,0,0,0)
set(10,0,5600,180)
set(49,0,5550,90)
set(49,0,5000,90)
set(49,0,4450,90)
set(26,0,3400,0)pr
fix(41,0,3864,-750,0)
chk(40,0,5475,90)
chk(40,-1025,5475,90)
set(10,0,11200,180)
set(49,0,6625,90)
set(49,0,7150,90)
set(49,0,7675,90)
set(49,0,8175,90)
set(49,0,8725,90)
set(49,-50,9250,90)
set(49,25,9800,90)ph
set(49,0,10250,90)
set(49,50,10950,90)
set(49,-25,10550,90)
set(10,0,16800,180)
set(49,75,16775,90)
set(49,0,16175,90)
set(49,-25,15825,90)
set(49,0,15325,90)
set(49,0,14750,90)
set(49,-75,14150,90)ph
set(49,-150,13675,90)
set(49,-75,13150,90)
set(49,25,12400,90)
set(49,0,12650,90)
set(10,0,22400,180)
set(49,-100,17850,90)
set(49,-150,18350,90)
set(49,-200,18825,90)
set(49,-175,19375,90)
set(49,-250,19950,90)
set(49,-25,20600,90)
set(49,-100,21375,90)ph
set(49,-25,20600,90)
set(49,-75,20925,90)
set(49,-175,21675,90)
set(49,-250,22075,90)
set(10,0,28000,180)
set(49,-425,27500,90)
set(49,-450,27000,90)
set(49,-400,26425,90)
set(49,-450,25525,90)
set(49,-375,25875,90)
set(49,-375,25175,90)
set(49,-325,24775,90)ph
set(49,-300,24300,90)
set(49,-275,24000,90)
set(49,-200,23475,90)
set(10,0,33600,180)
set(49,-625,32800,90)
set(49,-500,31900,90)
set(49,-500,31350,90)
set(49,-375,29850,90)
set(49,-525,29650,90)
set(49,-425,29050,90)
set(49,-450,30525,90)
set(49,-725,30525,90)ph
set(49,-600,30875,90)
set(49,-850,32375,90)
set(49,-700,33300,90)
set(10,0,39200,180)
set(49,-660,38830,90)
set(49,-792,37708,90)
set(49,-528,36916,90)
set(49,-800,36075,90)
set(49,-550,35100,90)ph
set(49,-650,34525,90)
set(49,-675,35800,90)
set(49,-975,35375,90)
set(49,-759,36487,90)
set(49,-825,37378,90)
set(49,-759,38236,90)
set(10,0,44800,180)
set(49,-792,44396,90)
set(49,-957,42990,90)
set(49,-693,42099,90)
set(49,-759,41175,90)
set(49,-759,40548,90)
set(49,-660,41571,90)
